VehicleID,EdgeIDp,EdgeID,X,Y
vehicle_0,-E68,-E74,241.67845029288293,-254.02801419839793
vehicle_1,E82,E84,-493.16323384992944,50.244747093650005
vehicle_2,-E45,E58,-0.45941229310642484,-369.1582685360121
vehicle_3,-E47,E44,-41.50359327016412,-254.7939049572425
vehicle_4,-E73,-E52,-370.8504777413257,-256.2977819674159
vehicle_5,-E69,-E84,140.9582864217934,-274.90654922177714
vehicle_6,E66,E41,271.5276389259313,-148.9798866841506
vehicle_7,E45,E53,-71.92321288088812,-314.24951241546023
vehicle_8,E43,-E28,-243.24830593388407,-368.14623262885647
vehicle_9,E45,E63,-102.89784115827297,-307.161653858044
vehicle_10,-E55,E76,278.7389373354799,-25.596189603909863
vehicle_11,-E12,-E82,71.72596349470217,89.45809234041582
vehicle_12,-E66,-E53,260.2011304595025,-175.78360017733195
vehicle_13,-E14,-E74,199.45073388145778,82.63655753262486
vehicle_14,-E15,E74,237.930677971409,41.74873200454607
vehicle_15,-E28,-E21,-0.6880602808010394,-72.55136410893925
vehicle_16,E53,-E9,162.59872994545566,-148.1269874610565
vehicle_17,E59,-E45,307.26663512759654,-366.6582245818178
vehicle_18,E21,-E16,-61.87319085747174,-11.089935503397328
vehicle_19,E21,E47,-71.2524240774008,15.382704852759161
vehicle_20,E70,-E54,21.819462173857744,-351.3593768589542
vehicle_21,-E66,E65,238.01550293850886,-143.55891813125294
vehicle_22,-E67,-E55,187.3724948648424,-237.87067053359775
vehicle_23,E69,-E44,109.43759841464674,-265.31962221130436
vehicle_24,E72,-E32,-293.2366523266975,-72.24265146756551
vehicle_25,-E47,-E74,-20.735403263273042,-214.01214615910038
vehicle_26,E71,-E73,-246.8855342556974,-10.515633428407682
vehicle_27,-E45,-E55,-41.541629144613296,-358.158745287337
vehicle_28,-E37,-E68,-189.27978432136706,-267.06533774029833
vehicle_29,-E7,-E84,160.8643621034011,-11.383937029460867
vehicle_30,-E74,-E28,-480.6115271705275,-311.2092929445398
vehicle_31,-E7,-E13,209.5032761590366,14.761094299465128
vehicle_32,E36,-E72,-255.55101814670294,-283.3126053911043
