percentuale_uso_heatmap,veicoli,granularità,alfa,vehicle_number,tempo_medio_parcheggio_B_heatmap,tempo_medio_ricerca_posteggio_heatmap,distanza_parcheggio_punto_B_heatmap,tempo_medio_parcheggio_B,tempo_medio_ricerca_posteggio,distanza_parcheggio_punto_B
32.00%,50,10.0,0.2,50,111.27,18.6,119.41,123.5,58.06,130.32
36.00%,50,10.0,0.2,50,109.9,30.76,209.43,117.5,59.9,115.69
48.00%,100,10.0,0.2,100,113.51,7.15,190.44,135.0,65.94,122.52
53.00%,100,10.0,0.2,100,141.77,8.63,181.78,163.45,51.91,106.03
50.00%,50,10.0,0.4,50,121.85,41.72,173.65,110.0,57.71,104.34
44.00%,50,10.0,0.4,50,128.65,17.32,168.19,148.25,65.07,130.69
53.00%,100,10.0,0.4,100,146.27,14.35,218.65,133.06,47.98,106.02
53.00%,100,10.0,0.4,100,112.66,25.1,244.93,136.43,74.76,129.66
